	pH	NH4-N	NO3-N	NO2-N	DON	DOC	T-Fe	CEC	C:N
Z9.7	4.98	28.88866995	0.227364532	0.017177725	12.22418719	34.29860837	39.74735799	9.398	9.392447081
Z9.8	4.75	1.476222826	0.22803442	0.015414827	4.632699275	16.94055707	24.74478822	1.97104	10.16741619
Z4.1	5.85	18.85714286	1.176685714	0.054369857	40.51268571	100.5613714	43.55959446	14.80312	10.39339147
Z4.5	5.61	2.118383061	0.369008662	0.012676131	25.95588707	26.40461983	36.68253581	10.09904	9.166698893
Z4.6	5.69	6.764399368	2.007581665	0.014141782	8.987231296	16.45705479	44.61377785	10.80008	8.615250622
Z4.7	5.65	1.140461095	0.315446686	0.006923145	5.775100865	8.183414986	22.13763298	4.7244	8.696744246
Z4.8	5.9	1.041214781	0.192817552	0.016510003	8.4732602	3.277898383	26.76668286	3.53568	9.209350543
Z4.9	6.1	0.509910233	0.127477558	0.00454501	7.302918911	10.07072711	12.18780849	1.60528	9.505762288
Z10.1	4.52	124.9395349	52.18604651	0.043816134	21.67596899	130.0302326	46.0057947	18.15592	10.32175566
Z10.5	5.88	4.225084746	0.313938185	0.009798305	16.13511466	34.59206381	43.2101626	12.00912	10.80015155
Z10.6	5.28	55.52116071	0.198017857	0.011409827	16.04198512	63.41141071	40.54972331	15.21968	10.60398415
Z10.7	5.17	25.17060897	0.243429487	0.015632737	14.25888221	21.3609375	21.45806136	4.32816	10.66411051
Z10.8	5.21	37.88985294	0.178235294	0.013776103	13.86026961	39.88757353	20.42277018	12.27328	14.58106728
